1737487,3279908,307
3279908,4886439,282
3279908,4863665,273
3279908,5093843,251
3279908,3529915,227
1737487,4863665,221
477634,491688,214
1737487,5093843,197
458375,3279908,186
4863665,5093843,177
4863665,4954957,174
2046071,3279908,172
3279908,4945115,172
3279908,4954957,168
1737487,4886439,167
4863665,4886439,166
4863665,4945115,165
3529915,4886439,156
149912,405007,153
458375,1737487,151
1737487,2046071,150
61967,149912,147
4886439,5093843,143
1737487,4954957,138
477634,516583,137
149912,413224,135
1737487,4945115,130
2496120,3279908,129
1737487,2496120,125
1737487,3529915,123
2046071,5093843,119
491688,516583,118
4945115,4954957,116
477634,562465,115
477634,585558,114
3279908,5022980,114
4945115,5093843,114
5529861,5536746,114
3279908,5266635,113
4954957,5093843,112
5519113,5529861,112
458375,5093843,111
2046071,4863665,110
148523,149912,109
149912,286258,109
2496120,4863665,109
3279908,5326752,108
4863665,5266635,108
458375,2046071,107
5519113,5536746,105
1737487,5326752,104
3529915,4863665,104
405007,413224,103
491688,562465,102
1445571,4863665,101
4886439,4945115,101
1737487,5266635,100
4886439,4954957,100
458375,4863665,98
5517174,5536746,98
477634,653349,97
5517174,5529861,97
3529915,5093843,96
1449104,3279908,95
15433,129346,93
2496120,5093843,93
310613,327845,92
4863665,5022980,92
15433,43387,91
149912,352574,90
196231,489770,90
15433,52802,88
231473,323520,88
304469,311286,88
4954957,5266635,88
190399,210593,87
458375,4886439,87
5517174,5519113,87
491688,585558,86
1445571,4954957,85
4886439,5022980,85
5093843,5266635,85
149912,501004,83
477634,1091799,83
1445571,3279908,83
15433,26551,82
272078,464103,82
1449104,1737487,82
2046071,5326752,82
458375,2496120,81
2046071,2496120,81
3279908,4890313,81
142088,272078,80
284906,285671,80
149912,461914,78
458375,3529915,78
3279908,6374498,78
96827,149912,77
314724,1750748,77
477634,734139,77
2046071,4886439,77
191358,310508,76
477634,587829,76
491688,653349,76
278631,285144,75
1737487,5022980,75
61967,405007,74
458375,5326752,74
15363,310508,73
352574,405007,73
477634,525382,73
191767,231473,72
209957,217478,72
149912,325839,71
310384,312962,71
248721,329236,70
2046071,4945115,70
305595,341235,69
310613,315546,69
4954957,5022980,69
142088,560468,68
149912,606711,68
278110,285144,68
2496120,4945115,68
4863665,5326752,68
477634,490650,67
477634,641209,67
491688,525382,67
1445571,4945115,67
182332,216884,66
332128,332687,66
15363,329236,65
26408,81344,65
26815,285754,65
293764,296460,65
316442,319471,65
4945115,5266635,65
5093843,5326752,65
18955,361730,64
149912,744631,64
272078,296460,64
310508,329236,64
516583,562465,64
1737487,6374498,64
3279908,4130162,64
13351,342260,63
196231,217478,63
294812,308217,63
296460,560468,63
299750,302927,63
491688,1091799,63
3529915,5022980,63
15433,83936,62
21786,55324,62
149912,427693,62
149912,461184,62
305319,1450530,62
319607,357295,62
477634,637165,62
491688,587829,62
1445571,1737487,62
5022980,5093843,62
5529861,5548056,62
13351,248721,61
285144,285671,61
304286,393019,61
458375,1449104,61
1445571,5093843,61
15433,61967,60
17036,601626,60
32812,1129308,60
272078,305595,60
490650,491688,60
1445571,4886439,60
1449104,2046071,60
4886439,5266635,60
149912,402078,59
191358,329236,59
278110,278631,59
278955,447408,59
312962,341235,59
332484,344789,59
410647,3279908,59
413224,461914,59
2496120,4954957,59
4886439,4890313,59
17036,591915,58
113286,151789,58
149912,247226,58
190787,190992,58
209278,232488,58
310508,579981,58
338702,352757,58
344703,392888,58
405007,461914,58
491688,734139,58
505029,510330,58
2046071,3529915,58
2046071,4954957,58
15363,248721,57
15433,27574,57
21786,1129308,57
278110,284329,57
4863665,4890313,57
4863665,5046313,57
5536746,5548056,57
32812,55324,56
