323390,420190,42
323296,323365,33
296814,361245,32
315615,366256,32
169620,309412,30
315615,363754,30
61967,149912,29
149912,413224,29
284329,284906,29
321545,468369,28
142088,272078,27
295247,513693,27
302957,494845,27
309645,473508,27
399738,425077,27
190787,190992,26
293422,341235,26
299614,344789,26
328664,402813,26
341235,513693,26
345599,414823,26
15433,52802,25
32812,1129308,25
148523,149912,25
283602,288925,25
308579,312962,25
332402,1129308,25
190787,321963,24
191358,329236,24
296693,1011783,24
313210,412474,24
313210,473508,24
319447,444158,24
344789,394512,24
363754,366256,24
399738,420190,24
21786,1129308,23
149912,352574,23
278955,444158,23
285144,399738,23
285757,344004,23
288914,435551,23
293422,296460,23
296693,344789,23
302957,521612,23
310384,320027,23
311941,381205,23
412474,414823,23
149912,325839,22
149912,405007,22
278955,319447,22
283602,402813,22
284329,323390,22
293422,503164,22
308162,464808,22
321982,349686,22
345599,412474,22
29378,392071,21
111142,801917,21
272078,464103,21
278110,313590,21
284906,420190,21
299614,323365,21
301908,313801,21
304469,311286,21
308579,412474,21
310384,312962,21
341235,560468,21
394512,396192,21
431398,483551,21
11382,346524,20
15270,1129308,20
113286,151789,20
141775,1129308,20
149912,501004,20
272078,296460,20
272078,420190,20
278110,323277,20
280618,292401,20
282003,322215,20
284329,420190,20
288543,447408,20
292521,302957,20
300139,513693,20
309645,560468,20
315615,316917,20
361245,513437,20
363754,420633,20
444158,447408,20
451809,464103,20
477634,491688,20
1822816,1823973,20
54334,297378,19
55324,1129308,19
142088,284906,19
166118,350004,19
182836,347230,19
190399,210593,19
248721,546871,19
272078,503164,19
278955,447408,19
291543,339873,19
292521,302927,19
296693,394512,19
299614,394512,19
300139,473508,19
308579,320027,19
312962,414823,19
339307,451809,19
341235,473508,19
341235,503164,19
399738,622397,19
679981,1817603,19
904211,1450060,19
1069,281416,18
9850,1129308,18
15433,26551,18
54334,280244,18
83975,98921,18
84029,88931,18
89345,1325779,18
149912,286258,18
160841,1129308,18
171897,349653,18
191767,323520,18
231473,323520,18
280308,285027,18
284906,323390,18
285144,285671,18
285733,288543,18
288914,451809,18
288925,402813,18
289848,295822,18
295247,300139,18
296693,396192,18
299750,313801,18
302957,535928,18
306771,543182,18
308579,1766969,18
310779,395034,18
312962,320027,18
312962,412474,18
319805,351485,18
323296,396192,18
333167,366256,18
334737,336581,18
373279,447408,18
494845,521612,18
937047,983129,18
8303,200075,17
15433,27574,17
15866,432270,17
29378,302927,17
149912,607838,17
170201,239202,17
171897,1437385,17
182332,216884,17
191358,310508,17
209957,309575,17
232447,263244,17
232488,655294,17
277636,336268,17
282003,366256,17
283602,319447,17
284906,431398,17
285757,288925,17
285757,447408,17
288925,328664,17
292521,313801,17
292521,494845,17
295598,360746,17
295822,357147,17
296693,323365,17
299614,380716,17
299750,302957,17
301024,483551,17
308579,414823,17
310613,315546,17
313590,425077,17
329538,395034,17
334884,1841570,17
340758,376346,17
456061,541828,17
502746,642902,17
702693,707343,17
1197780,1202813,17
57845,320506,16
149912,1058383,16
166947,169620,16
186505,349653,16
189953,309412,16
190992,191767,16
191767,230288,16
278631,285144,16
278955,288925,16
280618,355405,16
282146,333167,16
284329,301024,16
284906,301024,16
285144,622397,16
287502,322951,16
287502,1440697,16
288914,339307,16
288914,464103,16
292521,380716,16
292521,535928,16
293764,296814,16
296814,490759,16
297327,541828,16
299444,369372,16
300139,313210,16
302927,313801,16
305595,412474,16
313801,394512,16
315615,320027,16
316917,320027,16
319805,535751,16
323365,344789,16
345599,1259795,16
380716,1045041,16
395034,412474,16
456556,483285,16
484958,541828,16
535928,1906426,16
594462,1129308,16
745906,747640,16
1423309,1428327,16
1426286,1498578,16
1137,1685347,15
13552,363754,15
20460,306771,15
149912,461914,15
149912,744631,15
166947,355405,15
169620,565376,15
190787,191767,15
232771,401162,15
272078,323390,15
278037,349686,15
278955,288543,15
284906,435551,15
287073,372078,15
295247,341235,15
296814,313801,15
297402,467079,15
299614,302957,15
299614,535928,15
299750,302927,15
299750,361245,15
299750,490759,15
301908,302927,15
302957,313801,15
305595,315615,15
305595,316917,15
